danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,preview_url
0.788,0.616,9,-10.671,0,0.0337,0.00286,0.549,0.0952,0.696,119.037,audio_features,0dEIca2nhcxDUV8C5QkPYb,spotify:track:0dEIca2nhcxDUV8C5QkPYb,https://api.spotify.com/v1/tracks/0dEIca2nhcxDUV8C5QkPYb,https://api.spotify.com/v1/audio-analysis/0dEIca2nhcxDUV8C5QkPYb,275387,4,Give Life Back to Music,https://p.scdn.co/mp3-preview/29c9a5d90d26a12c9dd360aabc1d23b1d6435242?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,audio_features,3ctALmweZBapfBdFiIVpji,spotify:track:3ctALmweZBapfBdFiIVpji,https://api.spotify.com/v1/tracks/3ctALmweZBapfBdFiIVpji,https://api.spotify.com/v1/audio-analysis/3ctALmweZBapfBdFiIVpji,322147,4,The Game of Love,https://p.scdn.co/mp3-preview/1e5a670489a065dfac8bb58b8e27106ebd6b8e29?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,audio_features,0oks4FnzhNp5QPTZtoet7c,spotify:track:0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/tracks/0oks4FnzhNp5QPTZtoet7c,https://api.spotify.com/v1/audio-analysis/0oks4FnzhNp5QPTZtoet7c,544627,4,Giorgio by Moroder,https://p.scdn.co/mp3-preview/534cabcdaafed760cb64f02c45eee6ca5e8e9b3e?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.702,0.297,10,-14.116,0,0.0317,0.894,0.485,0.103,0.0676,110.116,audio_features,7Bxv0WL7UC6WwQpk9TzdMJ,spotify:track:7Bxv0WL7UC6WwQpk9TzdMJ,https://api.spotify.com/v1/tracks/7Bxv0WL7UC6WwQpk9TzdMJ,https://api.spotify.com/v1/audio-analysis/7Bxv0WL7UC6WwQpk9TzdMJ,228507,4,Within,https://p.scdn.co/mp3-preview/5e6d91adada11bca669d801169952267604b9097?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,audio_features,2cGxRwrMyEAp8dEbuZaVv6,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/audio-analysis/2cGxRwrMyEAp8dEbuZaVv6,337560,4,Instant Crush (feat. Julian Casablancas),https://p.scdn.co/mp3-preview/df572a412d8737b2579169fd8b58786a8c8f2f2d?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,audio_features,5CMjjywI0eZMixPeqNd75R,spotify:track:5CMjjywI0eZMixPeqNd75R,https://api.spotify.com/v1/tracks/5CMjjywI0eZMixPeqNd75R,https://api.spotify.com/v1/audio-analysis/5CMjjywI0eZMixPeqNd75R,353893,4,Lose Yourself to Dance (feat. Pharrell Williams),https://p.scdn.co/mp3-preview/24e8d6ba5f91d46782dc44ca9eb44db18b1fc897?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.29,0.412,6,-12.659,0,0.0458,0.477,0.0839,0.079,0.12,90.539,audio_features,7oaEjLP2dTJLJsITbAxTOz,spotify:track:7oaEjLP2dTJLJsITbAxTOz,https://api.spotify.com/v1/tracks/7oaEjLP2dTJLJsITbAxTOz,https://api.spotify.com/v1/audio-analysis/7oaEjLP2dTJLJsITbAxTOz,498960,4,Touch (feat. Paul Williams),https://p.scdn.co/mp3-preview/1469e37ce94e41d93a6e3777d313d5cb172d4dbc?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.81,0.793,6,-9.404,0,0.0403,0.0378,1.82e-06,0.072,0.863,116.049,audio_features,69kOkLUCkxIZYexIgSG8rq,spotify:track:69kOkLUCkxIZYexIgSG8rq,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,https://api.spotify.com/v1/audio-analysis/69kOkLUCkxIZYexIgSG8rq,369627,4,Get Lucky (feat. Pharrell Williams & Nile Rodgers),https://p.scdn.co/mp3-preview/28c1195dcc64c65223ed1f439886d50f4ded7ba6?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.716,0.648,8,-11.33,0,0.0337,0.367,0.485,0.368,0.789,104.022,audio_features,0k1xMUwn9sb7bZiqdT9ygx,spotify:track:0k1xMUwn9sb7bZiqdT9ygx,https://api.spotify.com/v1/tracks/0k1xMUwn9sb7bZiqdT9ygx,https://api.spotify.com/v1/audio-analysis/0k1xMUwn9sb7bZiqdT9ygx,290240,4,Beyond,https://p.scdn.co/mp3-preview/cbea5e9ee5d06392321d3536f3e5af57d82e5d8b?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
0.548,0.707,4,-14.902,0,0.0352,0.512,0.922,0.105,0.284,103.009,audio_features,79koEJRtKOOGJ0VSAF3FMk,spotify:track:79koEJRtKOOGJ0VSAF3FMk,https://api.spotify.com/v1/tracks/79koEJRtKOOGJ0VSAF3FMk,https://api.spotify.com/v1/audio-analysis/79koEJRtKOOGJ0VSAF3FMk,341653,4,Motherboard,https://p.scdn.co/mp3-preview/ef0433b191bf290a8f0d236f94713297745f129a?cid=572fe7cf75b545aaa2ec3c3ad360d5b1
